Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,# of Deaths/Readmissions,# of Cases,Hospital Ratings,Location 1
2011-2012,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,30-day Readmission,13.73,61,451,As Expected,"(34.068889, -118.445)"
2011-2012,Los Angeles,Valley Presbyterian Hospital,106190812,30-day Mortality,11.31,26,209,As Expected,"(34.19399, -118.46196)"
2011-2012,Los Angeles,Valley Presbyterian Hospital,106190812,30-day Readmission,15.04,32,193,As Expected,"(34.19399, -118.46196)"
2011-2012,Los Angeles,Verdugo Hills Hospital,106190818,30-day Readmission,19.62,20,115,As Expected,"(34.20557, -118.2152)"
2011-2012,Los Angeles,Verdugo Hills Hospital,106190818,30-day Mortality,10.34,11,116,As Expected,"(34.20557, -118.2152)"
2011-2012,Los Angeles,West Hills Hospital and Medical Center,106190859,30-day Readmission,15.09,25,188,As Expected,"(34.20365, -118.6294)"
2011-2012,Los Angeles,West Hills Hospital and Medical Center,106190859,30-day Mortality,12.38,28,209,As Expected,"(34.20365, -118.6294)"
2011-2012,Los Angeles,White Memorial Medical Center,106190878,30-day Mortality,6.8,29,432,Better,"(34.051, -118.21739)"
2011-2012,Los Angeles,White Memorial Medical Center,106190878,30-day Readmission,15.07,77,416,As Expected,"(34.051, -118.21739)"
2011-2012,Los Angeles,Whittier Hospital Medical Center,106190883,30-day Readmission,11.9,14,107,As Expected,"(33.95379, -118.00303)"
2011-2012,Los Angeles,Whittier Hospital Medical Center,106190883,30-day Mortality,4.6,5,110,As Expected,"(33.95379, -118.00303)"
2011-2012,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,30-day Readmission,15.93,35,220,As Expected,"(34.39637, -118.55324)"
2011-2012,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,30-day Mortality,8.41,21,234,As Expected,"(34.39637, -118.55324)"
2011-2012,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,30-day Readmission,13.62,35,286,As Expected,"(33.83149, -118.29332)"
2011-2012,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,30-day Mortality,10.39,9,297,As Expected,"(33.83149, -118.29332)"
2011-2012,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,30-day Readmission,18.05,31,192,As Expected,"(34.05982, -118.21031)"
2011-2012,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,30-day Mortality,21.86,18,211,Worse,"(34.05982, -118.21031)"
2011-2012,Los Angeles,Los Angeles County/Olive View – UCLA Medical Center,106191231,30-day Readmission,10.32,15,168,As Expected,"(34.32418, -118.45255)"
2011-2012,Los Angeles,Los Angeles County/Olive View – UCLA Medical Center,106191231,30-day Mortality,8.22,3,171,As Expected,"(34.32418, -118.45255)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Woodland Hills,106191450,30-day Readmission,10.38,30,272,As Expected,"(34.17198, -118.58829)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Woodland Hills,106191450,30-day Mortality,8.55,31,281,As Expected,"(34.17198, -118.58829)"
2011-2012,Los Angeles,Keck Hospital of University of Southern California,106194219,30-day Readmission,9.05,5,60,As Expected,"(34.06284, -118.20287)"
2011-2012,Los Angeles,Keck Hospital of University of Southern California,106194219,30-day Mortality,15.7,11,68,As Expected,"(34.06284, -118.20287)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Baldwin Park,106196035,30-day Mortality,12,30,323,As Expected,"(34.06348, -117.986)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Baldwin Park,106196035,30-day Readmission,14.27,46,316,As Expected,"(34.06348, -117.986)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Downey,106196403,30-day Readmission,13.83,52,353,As Expected,"(33.9171234, -118.1290216)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Downey,106196403,30-day Mortality,9.87,22,367,As Expected,"(33.9171234, -118.1290216)"
2011-2012,Los Angeles,Palmdale Regional Medical Center,106196405,30-day Readmission,11.71,19,172,As Expected,"(34.5843754, -118.1443461)"
2011-2012,Los Angeles,Palmdale Regional Medical Center,106196405,30-day Mortality,12.52,19,181,As Expected,"(34.5843754, -118.1443461)"
2011-2012,Madera,Madera Community Hospital,106201281,30-day Readmission,13.15,8,61,As Expected,"(36.94535, -120.04561)"
2011-2012,Madera,Madera Community Hospital,106201281,30-day Mortality,18,10,67,As Expected,"(36.94535, -120.04561)"
2011-2012,Marin,Kaiser Foundation Hospital – San Rafael,106210992,30-day Readmission,7.82,15,198,As Expected,"(38.0041, -122.55376)"
2011-2012,Marin,Kaiser Foundation Hospital – San Rafael,106210992,30-day Mortality,8.88,21,208,As Expected,"(38.0041, -122.55376)"
2011-2012,Marin,Marin General Hospital,106211006,30-day Readmission,12.82,31,245,As Expected,"(37.94651, -122.53715)"
2011-2012,Marin,Marin General Hospital,106211006,30-day Mortality,9.24,33,255,As Expected,"(37.94651, -122.53715)"
2011-2012,Marin,Novato Community Hospital,106214034,30-day Readmission,2.42,1,39,As Expected,"(38.09749, -122.55887)"
2011-2012,Marin,Novato Community Hospital,106214034,30-day Mortality,14.69,10,42,As Expected,"(38.09749, -122.55887)"
2011-2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,30-day Readmission,0,0,31,As Expected,"(39.40079, -123.34973)"
2011-2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,30-day Mortality,8.52,4,31,As Expected,"(39.40079, -123.34973)"
2011-2012,Mendocino,Mendocino Coast District Hospital,106231013,30-day Readmission,25.28,10,47,As Expected,"(39.4326, -123.80068)"
2011-2012,Mendocino,Mendocino Coast District Hospital,106231013,30-day Mortality,10.04,5,49,As Expected,"(39.4326, -123.80068)"
2011-2012,Mendocino,Ukiah Valley Medical Center,106231396,30-day Readmission,10.22,9,98,As Expected,"(39.1528, -123.20363)"
2011-2012,Mendocino,Ukiah Valley Medical Center,106231396,30-day Mortality,13.14,14,104,As Expected,"(39.1528, -123.20363)"
2011-2012,Merced,Mercy Medical Center – Merced,106240942,30-day Readmission,11.34,31,251,As Expected,"(37.3402309, -120.4651815)"
2011-2012,Merced,Mercy Medical Center – Merced,106240942,30-day Mortality,10.92,38,273,As Expected,"(37.3402309, -120.4651815)"
2011-2012,Monterey,Community Hospital Monterey Peninsula,106270744,30-day Readmission,14.04,38,294,As Expected,"(36.59827, -121.92488)"
2011-2012,Monterey,Community Hospital Monterey Peninsula,106270744,30-day Mortality,10.39,32,312,As Expected,"(36.59827, -121.92488)"
2011-2012,Monterey,Salinas Valley Memorial Hospital,106270875,30-day Readmission,12.37,36,288,As Expected,"(36.66022, -121.6481)"
2011-2012,Monterey,Salinas Valley Memorial Hospital,106270875,30-day Mortality,7.13,19,294,As Expected,"(36.66022, -121.6481)"
2011-2012,Monterey,Natividad Medical Center,106274043,30-day Readmission,8.77,4,52,As Expected,"(36.69686, -121.6297)"
2011-2012,Monterey,Natividad Medical Center,106274043,30-day Mortality,12.35,2,53,As Expected,"(36.69686, -121.6297)"
2011-2012,Napa,Queen of the Valley Hospital – Napa,106281047,30-day Readmission,15.4,28,172,As Expected,"(38.32363, -122.296)"
2011-2012,Napa,Queen of the Valley Hospital – Napa,106281047,30-day Mortality,14.22,35,189,As Expected,"(38.32363, -122.296)"
2011-2012,Napa,Saint Helena Hospital,106281078,30-day Readmission,12.08,10,81,As Expected,"(38.53937349, -122.473003)"
2011-2012,Napa,Saint Helena Hospital,106281078,30-day Mortality,8.39,7,87,As Expected,"(38.53937349, -122.473003)"
2011-2012,Nevada,Sierra Nevada Memorial Hospital,106291023,30-day Mortality,9.75,26,198,As Expected,"(39.22932, -121.04748)"
2011-2012,Nevada,Sierra Nevada Memorial Hospital,106291023,30-day Readmission,12.75,21,187,As Expected,"(39.22932, -121.04748)"
2011-2012,Orange,Orange Coast Memorial Medical Center,106300225,30-day Readmission,14.67,28,201,As Expected,"(33.70162, -117.95524)"
2011-2012,Orange,Orange Coast Memorial Medical Center,106300225,30-day Mortality,9.77,20,208,As Expected,"(33.70162, -117.95524)"
2011-2012,Orange,AHMC Anaheim Regional Medical Center,106301098,30-day Readmission,20.2,49,248,Worse,"(33.84725, -117.93248)"
2011-2012,Orange,AHMC Anaheim Regional Medical Center,106301098,30-day Mortality,10.58,22,255,As Expected,"(33.84725, -117.93248)"
2011-2012,Orange,Kaiser Foundation Hospital – Anaheim,106301132,30-day Readmission,8.71,32,361,Better,"(33.85295, -117.81603)"
2011-2012,Orange,Kaiser Foundation Hospital – Anaheim,106301132,30-day Mortality,10.1,28,370,As Expected,"(33.85295, -117.81603)"
2011-2012,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,30-day Readmission,12.79,60,440,As Expected,"(33.71546, -117.93694)"
2011-2012,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,30-day Mortality,8,39,464,As Expected,"(33.71546, -117.93694)"
2011-2012,Orange,Hoag Memorial Hospital Presbyterian,106301205,30-day Readmission,13,92,777,As Expected,"(33.62526, -117.92949)"
2011-2012,Orange,Hoag Memorial Hospital Presbyterian,106301205,30-day Mortality,9.53,84,812,As Expected,"(33.62526, -117.92949)"
2011-2012,Orange,Huntington Beach Hospital,106301209,30-day Readmission,14.33,10,62,As Expected,"(33.70442, -117.98895)"
2011-2012,Orange,Huntington Beach Hospital,106301209,30-day Mortality,8.2,6,65,As Expected,"(33.70442, -117.98895)"
2011-2012,Orange,La Palma Intercommunity Hospital,106301234,30-day Readmission,10.3,8,80,As Expected,"(33.8485, -118.03737)"
2011-2012,Orange,La Palma Intercommunity Hospital,106301234,30-day Mortality,5.37,3,81,As Expected,"(33.8485, -118.03737)"
2011-2012,Orange,Los Alamitos Medical Center,106301248,30-day Readmission,10.27,42,438,As Expected,"(33.80327, -118.0674)"
2011-2012,Orange,Los Alamitos Medical Center,106301248,30-day Mortality,11.22,57,454,As Expected,"(33.80327, -118.0674)"
2011-2012,Orange,Coastal Communities Hospital,106301258,30-day Readmission,,,,,"(33.71112, -117.88539)"
2011-2012,Orange,Coastal Communities Hospital,106301258,30-day Mortality,14.73,4,30,As Expected,"(33.71112, -117.88539)"
2011-2012,Orange,Mission Hospital Regional Medical Center,106301262,30-day Readmission,13.68,59,471,As Expected,"(33.56279, -117.66768)"
2011-2012,Orange,Mission Hospital Regional Medical Center,106301262,30-day Mortality,10.15,60,508,As Expected,"(33.56279, -117.66768)"
2011-2012,Orange,UC Irvine Medical Center,106301279,30-day Readmission,12.64,39,319,As Expected,"(33.7889, -117.89064)"
2011-2012,Orange,UC Irvine Medical Center,106301279,30-day Mortality,14.52,47,354,Worse,"(33.7889, -117.89064)"
2011-2012,Orange,Garden Grove Hospital and Medical Center,106301283,30-day Readmission,13.56,12,87,As Expected,"(33.7745089, -117.9130315)"
2011-2012,Orange,Garden Grove Hospital and Medical Center,106301283,30-day Mortality,6.83,6,91,As Expected,"(33.7745089, -117.9130315)"
2011-2012,Orange,Placentia Linda Hospital,106301297,30-day Readmission,14.84,10,76,As Expected,"(33.88704521, -117.8431129)"
2011-2012,Orange,Placentia Linda Hospital,106301297,30-day Mortality,10.82,7,78,As Expected,"(33.88704521, -117.8431129)"
2011-2012,Orange,Saddleback Memorial Medical Center,106301317,30-day Readmission,15.19,63,425,As Expected,"(33.60796, -117.70837)"
2011-2012,Orange,Saddleback Memorial Medical Center,106301317,30-day Mortality,10.46,66,440,As Expected,"(33.60796, -117.70837)"
2011-2012,Orange,Saint Joseph Hospital – Orange,106301340,30-day Readmission,12.07,51,440,As Expected,"(33.7823, -117.86516)"
2011-2012,Orange,Saint Joseph Hospital – Orange,106301340,30-day Mortality,9.28,42,454,As Expected,"(33.7823, -117.86516)"
2011-2012,Orange,Saint Jude Medical Center,106301342,30-day Readmission,14.11,70,500,As Expected,"(33.89349, -117.92851)"
2011-2012,Orange,Saint Jude Medical Center,106301342,30-day Mortality,8.11,51,519,As Expected,"(33.89349, -117.92851)"
2011-2012,Orange,West Anaheim Medical Center,106301379,30-day Readmission,11.89,19,145,As Expected,"(33.82482, -117.99492)"
2011-2012,Orange,West Anaheim Medical Center,106301379,30-day Mortality,8.21,12,148,As Expected,"(33.82482, -117.99492)"
2011-2012,Orange,Western Medical Center – Santa Ana,106301566,30-day Mortality,14.77,23,172,As Expected,"(33.75361, -117.83398)"
2011-2012,Orange,Western Medical Center – Santa Ana,106301566,30-day Readmission,9.46,15,158,As Expected,"(33.75361, -117.83398)"
2011-2012,Placer,Sutter Auburn Faith Hospital,106310791,30-day Readmission,7.91,14,175,As Expected,"(38.94452, -121.0982)"
2011-2012,Placer,Sutter Auburn Faith Hospital,106310791,30-day Mortality,10.4,23,180,As Expected,"(38.94452, -121.0982)"
2011-2012,Placer,Sutter Roseville Medical Center,106311000,30-day Readmission,13.16,59,438,As Expected,"(38.76439, -121.25055)"
2011-2012,Placer,Sutter Roseville Medical Center,106311000,30-day Mortality,12.38,66,466,As Expected,"(38.76439, -121.25055)"
2011-2012,Placer,Kaiser Foundation Hospital – Roseville,106314024,30-day Readmission,11.12,51,448,As Expected,"(38.74636, -121.25107)"
2011-2012,Placer,Kaiser Foundation Hospital – Roseville,106314024,30-day Mortality,9.33,57,476,As Expected,"(38.74636, -121.25107)"
2011-2012,Riverside,Corona Regional Medical Center – Main,106331152,30-day Readmission,14.21,21,146,As Expected,"(33.8733354, -117.5668015)"
2011-2012,Riverside,Corona Regional Medical Center – Main,106331152,30-day Mortality,14.97,22,154,As Expected,"(33.8733354, -117.5668015)"
2011-2012,Riverside,Desert Regional Medical Center,106331164,30-day Readmission,12.39,49,432,As Expected,"(33.83932, -116.54549)"
2011-2012,Riverside,Desert Regional Medical Center,106331164,30-day Mortality,10.95,46,453,As Expected,"(33.83932, -116.54549)"
2011-2012,Riverside,Eisenhower Medical Center,106331168,30-day Readmission,10.82,78,796,As Expected,"(33.76418, -116.40808)"
2011-2012,Riverside,Eisenhower Medical Center,106331168,30-day Mortality,12.95,98,826,As Expected,"(33.76418, -116.40808)"
2011-2012,Riverside,Hemet Valley Medical Center,106331194,30-day Readmission,14.4,58,385,As Expected,"(33.75113, -116.95958)"
2011-2012,Riverside,Hemet Valley Medical Center,106331194,30-day Mortality,12.85,73,412,As Expected,"(33.75113, -116.95958)"
2011-2012,Riverside,John F. Kennedy Memorial Hospital,106331216,30-day Readmission,12.9,15,115,As Expected,"(33.70677, -116.23391)"
2011-2012,Riverside,John F. Kennedy Memorial Hospital,106331216,30-day Mortality,13.24,14,120,As Expected,"(33.70677, -116.23391)"
2011-2012,Riverside,Parkview Community Hospital Medical Center,106331293,30-day Mortality,13.88,20,154,As Expected,"(33.92573, -117.43996)"
2011-2012,Riverside,Parkview Community Hospital Medical Center,106331293,30-day Readmission,18.42,27,146,As Expected,"(33.92573, -117.43996)"
2011-2012,Riverside,Riverside Community Hospital,106331312,30-day Readmission,15.43,70,438,As Expected,"(33.97641, -117.37997)"
2011-2012,Riverside,Riverside Community Hospital,106331312,30-day Mortality,10.67,43,458,As Expected,"(33.97641, -117.37997)"
2011-2012,Riverside,San Gorgonio Memorial Hospital,106331326,30-day Mortality,13.47,18,113,As Expected,"(33.9295, -116.94678)"
2011-2012,Riverside,San Gorgonio Memorial Hospital,106331326,30-day Readmission,11.14,12,106,As Expected,"(33.9295, -116.94678)"
2011-2012,Riverside,Menifee Valley Medical Center,106334018,30-day Mortality,15.08,24,122,As Expected,"(33.72146, -117.15691)"
2011-2012,Riverside,Menifee Valley Medical Center,106334018,30-day Readmission,19.84,24,117,As Expected,"(33.72146, -117.15691)"
2011-2012,Riverside,Kaiser Foundation Hospital – Riverside,106334025,30-day Readmission,6.28,14,217,Better,"(33.9063, -117.47082)"
2011-2012,Riverside,Kaiser Foundation Hospital – Riverside,106334025,30-day Mortality,9.58,16,225,As Expected,"(33.9063, -117.47082)"
2011-2012,Riverside,Kaiser Foundation Hospital – Moreno Valley,106334048,30-day Readmission,13.55,14,91,As Expected,"(33.89519, -117.18094)"
2011-2012,Riverside,Kaiser Foundation Hospital – Moreno Valley,106334048,30-day Mortality,11.49,9,93,As Expected,"(33.89519, -117.18094)"
2011-2012,Riverside,Southwest Healthcare System – Murrieta,106334068,30-day Readmission,16.14,62,407,As Expected,"(33.55788, -117.18488)"
2011-2012,Riverside,Southwest Healthcare System – Murrieta,106334068,30-day Mortality,13.3,50,426,As Expected,"(33.55788, -117.18488)"
2011-2012,Riverside,Riverside County Regional Medical Center,106334487,30-day Readmission,13.82,35,270,As Expected,"(33.91187, -117.19525)"
2011-2012,Riverside,Riverside County Regional Medical Center,106334487,30-day Mortality,13.18,21,289,As Expected,"(33.91187, -117.19525)"
2011-2012,Sacramento,Kaiser Foundation Hospital – Sacramento,106340913,30-day Readmission,8.87,39,415,Better,"(38.60197, -121.39232)"
2011-2012,Sacramento,Kaiser Foundation Hospital – Sacramento,106340913,30-day Mortality,12.16,64,451,As Expected,"(38.60197, -121.39232)"
2011-2012,Sacramento,Mercy General Hospital,106340947,30-day Readmission,8.81,27,310,As Expected,"(38.56955, -121.45271)"
2011-2012,Sacramento,Mercy General Hospital,106340947,30-day Mortality,12.78,44,339,As Expected,"(38.56955, -121.45271)"
2011-2012,Sacramento,Mercy San Juan Hospital,106340950,30-day Readmission,12.51,74,597,As Expected,"(38.66818, -121.31261)"
2011-2012,Sacramento,Mercy San Juan Hospital,106340950,30-day Mortality,10.41,84,642,As Expected,"(38.66818, -121.31261)"
2011-2012,Sacramento,Methodist Hospital of Sacramento,106340951,30-day Readmission,14.47,49,312,As Expected,"(38.46416, -121.41744)"
2011-2012,Sacramento,Methodist Hospital of Sacramento,106340951,30-day Mortality,7.99,22,323,As Expected,"(38.46416, -121.41744)"
2011-2012,Sacramento,UC Davis Medical Center,106341006,30-day Readmission,12.99,45,372,As Expected,"(38.55438, -121.45738)"
2011-2012,Sacramento,UC Davis Medical Center,106341006,30-day Mortality,13.22,37,397,As Expected,"(38.55438, -121.45738)"
